,id,category
343,4a594ae8f964a5202fb91fe3,Sushi Restaurant
344,4ae0a807f964a5205a8121e3,Movie Theater
345,4ab19657f964a520206a20e3,Steakhouse
346,49e4ca75f964a52045631fe3,Museum
347,4c58d0ce2091a5934b9d5bd0,Clothing Store
348,4b392303f964a520f85625e3,Shoe Store
349,55725b03498ecb997c232cc4,Mexican Restaurant
350,5a73d70746e1b61f26a4621c,Hotel
351,4e4b07ccc65b851d5ec1ae49,Cocktail Bar
352,4bbfa7ac2a89ef3b5f50ef88,Chinese Restaurant
353,4c42a9d6e26920a19b7a60e7,Hotel Bar
354,53daebdb498e6a427ef847d7,Hotel
355,5c68953235f983002cc68dcc,Restaurant
356,4a596c45f964a5205fb91fe3,Rock Club
357,4b9f29a2f964a5201a1637e3,Cocktail Bar
358,4c083fcbb235ef3b37658937,Mexican Restaurant
359,58796b6615fb436da19e1ed8,Bar
360,4b4e3c22f964a52050e626e3,Taco Place
361,59ee71dc04d1ae3d5562e774,Italian Restaurant
362,4bafd3b9f964a520fd233ce3,Sushi Restaurant
363,4ab9837df964a520af7f20e3,Mexican Restaurant
364,4a595c3ff964a5204cb91fe3,Seafood Restaurant
365,5556b2b3498eec90ae5fc54c,Chinese Restaurant
366,5369e2ab498ebd9d59885746,Bar
367,50be2eaee4b05ba3378cfce6,Gym / Fitness Center
368,55277e06498e89f260d499c2,Hotel
369,4d292b6f849f3704c9f97b41,Outdoor Sculpture
370,4f31d5efe4b057434ce9c989,Sports Bar
371,5247bc32498e12f43b84ecd8,Hotel Bar
372,4c3d14ccb36ac9286e0f0586,Coffee Shop
373,4e781481b61ce1c8985a0e6e,Food Truck
374,4d07f95d143cb60c9ce178a6,Hotel Bar
375,4b02352ef964a520304822e3,Hotel
376,4bbc290be45295218da555a4,Cocktail Bar
377,52f7dd7111d22027eea4c47f,Sports Bar
378,4a7d1ccaf964a52084ee1fe3,Bowling Alley
379,54fcc3b5498eb8d13d1e6881,Bar
380,4ec864045c5ce271beba07f8,Coffee Shop
381,5a8f4afdaa6c9501448a5314,Mediterranean Restaurant
382,4b8958fcf964a520be2d32e3,Mexican Restaurant
383,4fc94574d4f24895b44670d0,Coffee Shop
384,4a61e408f964a520a0c21fe3,Bakery
385,5171f57ee4b0bb055d9664ca,American Restaurant
386,5693d1c3498e73a19be1e387,Coffee Shop
387,552850e7498eaf253946a99d,Bubble Tea Shop
388,5accc7673ba7676c519ff8aa,Residential Building (Apartment / Condo)
389,5171f37fe4b0f0aa50baa74f,American Restaurant
390,4c93df196b35a143530916dc,Basketball Court
391,4fff495ce4b0d9a11cd500b4,Food Truck
392,4f373364e4b08533d2182cc0,Boutique
393,4c14501aa9c220a15f75579d,Art Gallery
394,4e7cd2e3d164bafc2e48a9c2,Arts & Crafts Store
395,4eb843df02d5f33e93bf8564,Music Store
396,5560c8d7498ef94ca52a2d39,Athletics & Sports
397,4ed5542fb63478bbf80cacd9,Middle Eastern Restaurant
398,4eea5d7777c85fa6b8d33016,Shoe Store
399,5b429a7e7564f7002c33491d,Latin American Restaurant
400,57e2e534498e95694a7762aa,Coffee Shop
401,5148b952fe70495c0870f336,Clothing Store
402,590a3fdcd4cc987a50adecf6,Italian Restaurant
403,4f8de5520cd62ff195ad7bb0,Lingerie Store
404,4ea612da7ee5bebc94853c48,Mexican Restaurant
405,43582f80f964a520e3281fe3,Flea Market
406,4cedb18b13aea1438421699f,Shopping Mall
407,4bd63c055631c9b65fa6a530,Women's Store
408,4c192a016a21c9b60d23ca97,Pizza Place
409,518959b4498eb86ceaac9668,Korean Restaurant
410,4f9b13a4e4b0873b667ea5a4,Clothing Store
411,4cc20ba9bde8f04d01d69b4b,Men's Store
412,527abc4811d2cf665a994038,Middle Eastern Restaurant
413,537652cc498e705f7db8a36b,Intersection
414,4bad1235f964a520922a3be3,Café
415,4d2b7e61ebacb1f7da6b0c50,Italian Restaurant
416,4ecec6a15c5c9528f75d9dfe,Men's Store
417,57809c1f498eeca5f3eb1f65,Argentinian Restaurant
418,5b5108ed46e1b6002c7d168c,Event Space
419,4ca50efff47ea143afbe5321,Deli / Bodega
420,51bb94058bbdbe3a0f145791,Clothing Store
421,5626a081498e3aa54252c085,Juice Bar
422,4c6aee9523971b8d0f2f998a,Mexican Restaurant
423,5b50f2f1b399f7002c30ac27,Pizza Place
424,57192f5e498e8504cbc5a435,Marijuana Dispensary
425,51c5af04498eee491f3457b5,Smoke Shop
426,4cfff1862685a35d6d14c690,Market
427,588a920c7a8f042236d3bc9a,Beer Bar
428,56fddd4d498e9364b4a689be,Fried Chicken Joint
429,5930770c0531e831640cc852,Coffee Shop
430,42508380f964a520c2201fe3,Theater
431,595551c8c4df1d216bb1ef51,Burrito Place
432,58b4d4573f5a5c2178d90771,Mediterranean Restaurant
433,588e67105490d32cb998ce62,Coffee Shop
434,4a7b590bf964a520beea1fe3,Coffee Shop
435,5985608e829b0c2095ed4719,Coffee Shop
436,4d276efb068e8cfa4ec8ba4c,Theater
437,5977a143a2a6ce034ff6db61,Coffee Shop
438,533690b4498e69f88f7870c8,Hookah Bar
439,4f45a6f0e4b0f8695dba5887,Shipping Store
440,4af47c4df964a52006f321e3,Middle Eastern Restaurant
441,4a931043f964a520b01e20e3,Sandwich Place
442,4a7c77e0f964a520b2ec1fe3,Snack Place
443,4c38ac4418e72d7ff5bd18f5,Event Space
444,51d78860698f51864643f457,Movie Theater
445,5998c9ecbcbf7a4289b3794b,Pet Store
446,55c7c5c6498e4521ebf9a650,Coffee Shop
447,52e6bdde11d2034a03d6c673,New American Restaurant
448,562796d5498e03dd35da0f5e,Grocery Store
449,577eed66498e35f78019a9ee,Coffee Shop
450,5a63bfa5d4cc9805fbd93763,Brewery
451,56cb83d9498eb0d041cab03e,Cycle Studio
452,563ab537cd1075c030753e82,Bar
453,4ad40834f964a5202ee720e3,Park
454,55f86c4e498e3b6c1287b00f,Sandwich Place
455,55a4390c498e5137355ba35f,Coffee Shop
456,4c888966584c76b0fa2beb58,Salad Place
457,55491d04498e2e2f7773b3e3,Juice Bar
458,592c7edf3abcaf2166985960,Vegetarian / Vegan Restaurant
459,4bb8187a3db7b7136909219a,New American Restaurant
460,4be5b16ad4f7c9b67dc32520,Chinese Restaurant
461,5bb84d2165cdf80039f3d949,Ice Cream Shop
462,58f3c4d6e65d0c6515a7414b,Pharmacy
463,4fdff20ae4b0e8a9280a2a25,Coffee Shop
464,4bf4cce0370e76b0de9bbd4a,Museum
465,4a185165f964a5209e791fe3,Supermarket
466,4b29b072f964a5208da224e3,Dive Bar
467,584a0a4a44587f042f20d5e3,Pet Store
468,4acb605ff964a52090c320e3,Breakfast Spot
469,4cbcadf3f50e224bfa8300fc,Shipping Store
470,50ff4fc2e4b018323403f38c,Salon / Barbershop
471,4cc8e23d5c7e8cfae93a4166,Lounge
472,4c5772886418a593578a7f0e,Video Store
473,54c7d710498ed093faf6a57e,Coffee Shop
474,50047047e4b0eed3b8520e03,Juice Bar
475,54924961498ed496ec0229e4,Cajun / Creole Restaurant
476,59dcf53b72475045640aaee6,Asian Restaurant
477,58c2563180e1af2b1ed0c9db,Hotel
478,5cc9ccfbd69ed00039808ec4,Coffee Shop
479,42ec1480f964a520a0261fe3,Theater
480,5751f4e0cd10ed687cf31b9a,Taco Place
481,49fefdeef964a520c26f1fe3,Coworking Space
482,4c72e65213228cfa21542c65,Liquor Store
483,4dd5b40245ddced8205d2c8e,Bar
484,4f10ae81e4b0253d4be8c453,Hotel
485,4fcec578e4b0ef77522f1616,Yoga Studio
486,52fac9d611d20a9a6fc5d1a3,Leather Goods Store
487,4be39be6fe299521819c966c,Brazilian Restaurant
488,5473e66d498ea620fcb58cd5,Italian Restaurant
489,4bd0ebe9caff952165e6cff0,Event Space
490,569d547d498e2d32d8fdeebf,Shoe Store
491,4ba95decf964a5205a223ae3,Restaurant
492,4a898c2af964a5205b0820e3,Fabric Shop
493,4f4c110d6d86e503953dd663,Burger Joint
494,4a843685f964a520eefb1fe3,Mexican Restaurant
495,4b8d77d9f964a52078fd32e3,Food Court
496,5ab7f7db0457b71c4ec1ab5d,Bakery
497,4ca78d4fd971b1f703800be1,Clothing Store
498,4d1ecd0d8629224b1a650687,Art Gallery
499,5ba449b32b274a002c2e9336,Furniture / Home Store
500,4c687355d9c7c9b6549ac41a,Women's Store
501,4ae60b7cf964a5204ea421e3,Coffee Shop
502,4a0f961df964a52077761fe3,Gym
503,57eaefa5498eecc7ee748c22,Hotel
504,594efe8b35811b3c068bde9e,Bar
505,5a6523e61acf115ff9f9bf84,Marijuana Dispensary
506,575850fd498eb908d0cd44d6,Japanese Restaurant
507,4bc37c4eb492d13a0cd2a860,Theater
508,584c5cdfd772f952a50c6aef,Hotel
509,558b528d498e19b8543c2c34,Filipino Restaurant
510,5111e110e4b06bff994935a4,Juice Bar
511,5a5e7444efa82a7115a57476,New American Restaurant
512,5b577f6322d490003902b357,Salad Place
513,59a9c9b579187134d0bb1e61,Food Court
514,5610b67c498eb02134858512,Lounge
515,59a9c96646e1b601b1bea01f,Thai Restaurant
516,501b1306e4b04341bebae94c,Coffee Shop
517,5a8ce2934420d81511b3ebce,Burger Joint
518,4106ec80f964a520860b1fe3,Bar
519,5944aadf89e49070edd65071,Hotel Bar
520,4a492436f964a52006ab1fe3,American Restaurant
521,474dd5a6f964a520ae4c1fe3,Whisky Bar
522,573fc690cd10ca3cdefb30db,Taco Place
523,5951ccf2e2ead15bbfee4579,Restaurant
524,4afe4be6f964a5201d2f22e3,Theater
525,4b6c7e4cf964a520943e2ce3,Mediterranean Restaurant
526,51f99402498e5b788495c152,Beer Store
527,4ac3a811f964a520399c20e3,Italian Restaurant
528,52b0c36d11d2bea40feefb21,Clothing Store
529,5a693c7f6f0aa22c69dd2965,New American Restaurant
530,50fa4d37e4b02b4f4bdba94b,Wine Bar
531,5a696f1a59c4230a74db306a,Cocktail Bar
